Bank_Name,Year,Quarter,Capital_Adequacy_Ratio,Non_Performing_Loans_Ratio,Liquidity_Coverage_Ratio,Return_on_Assets,Loan_to_Deposit_Ratio,Net_Interest_Margin,Operational_Efficiency_Ratio,Went_Defunct
Central Coast Credit,2003,2,16.31,1.68,110.59,2.12,61.98,3.74,47.17,No
United Plains Bank,2003,2,10.87,1.53,127.18,1.92,63.58,3.83,41.44,No
First Coast Bank,2003,2,6.07,8.96,53.69,-0.52,84.17,1.41,70.37,Yes
Central State Financial,2003,2,7.39,10.32,78.61,-0.75,96.53,0.71,94.71,Yes
Central America Trust,2003,2,10.6,0.96,126.65,1.6,60.5,2.28,45.17,No
United Coast Credit,2003,2,11.83,2.24,129.51,2.26,68.09,2.9,55.1,No
Metropolitan State Financial,2003,2,14.55,2.13,115.31,1.5,55.55,3.33,55.78,No
Community Valley Bancorp,2003,2,13.15,1.87,134.07,1.76,79.55,2.98,43.92,No
Central Mountain Bancorp,2003,2,13.19,2.41,123.57,2.04,69.62,4.19,61.84,No
United State Bank,2003,2,13.45,2.11,130.07,2.26,70.26,2.85,49.19,No
Metropolitan State Trust,2003,2,5.66,2.21,115.12,2.8,70.19,2.41,49.5,No
National Coast Trust,2003,2,3.91,8.42,72.91,-0.04,88.14,1.02,66.35,Yes
Community State Credit,2003,2,13.4,2.52,124.96,2.0,74.15,3.8,47.15,No
Central Plains Trust,2003,2,6.28,3.74,61.32,-0.9,116.56,0.87,77.64,Yes
National Plains Bank,2003,2,11.19,1.47,122.95,1.25,82.81,2.67,57.22,No
National State Credit,2003,2,9.46,2.67,126.72,2.19,60.06,3.12,38.17,No
First Coast Credit,2003,2,11.49,3.03,127.97,2.01,60.25,3.32,50.19,No
Regional America Bank,2003,2,1.36,9.35,69.76,0.2,83.57,0.0,82.79,Yes
Regional Valley Financial,2003,2,12.58,0.31,110.22,3.38,66.94,3.37,43.49,No
Metropolitan River Financial,2003,2,7.82,1.83,117.34,1.8,68.85,3.13,48.5,No
National Plains Bancorp,2003,2,3.47,8.46,50.51,-3.05,111.09,1.25,79.43,Yes
National Mountain Bancorp,2003,2,9.21,1.29,117.37,1.2,62.61,3.33,64.27,No
First State Bancorp,2003,2,5.16,9.27,50.86,-0.34,87.94,1.15,77.52,Yes
First Plains Bank,2003,2,14.64,1.13,126.28,1.86,68.42,2.91,41.54,No
Community Plains Credit,2003,2,11.97,1.94,122.41,2.04,77.98,3.46,39.49,No
National Plains Financial,2003,2,7.74,3.44,75.88,-0.38,71.33,1.05,75.32,Yes
Metropolitan Plains Financial,2003,2,10.48,3.35,113.46,1.6,70.76,3.34,48.58,No
First America Bank,2003,2,14.33,2.53,98.22,1.74,64.38,3.24,23.75,No
National Coast Bank,2003,2,17.1,2.53,121.49,2.59,93.44,3.44,59.49,No
National Coast Financial,2003,2,12.26,1.86,115.24,1.59,63.13,2.32,49.24,No
National State Credit,2003,2,8.63,2.19,119.64,2.07,64.78,4.54,63.6,No
United America Bank,2003,2,3.51,7.7,63.92,-2.01,79.9,1.22,73.19,Yes
First Valley Bank,2003,2,13.94,2.99,133.74,1.57,74.75,3.32,45.26,No
Community State Trust,2003,2,10.46,3.61,122.27,2.32,61.78,2.39,44.31,No
National Plains Trust,2003,2,11.75,0.94,119.9,1.16,58.8,3.34,56.04,No
First State Financial,2003,3,11.22,0.98,109.73,1.81,76.45,3.46,45.03,No
First Plains Bank,2003,3,9.69,2.27,111.76,1.74,83.25,3.41,51.58,No
First Coast Financial,2003,3,9.46,2.21,130.63,1.81,83.51,3.65,66.64,No
National River Trust,2003,3,12.61,2.59,134.14,2.22,64.99,2.78,52.39,No
United Coast Trust,2003,3,9.42,1.86,130.97,0.9,85.34,3.56,45.4,No
Central River Bancorp,2003,3,13.09,2.0,132.3,2.49,56.0,3.29,47.94,No
Metropolitan State Trust,2003,3,12.17,1.27,137.48,2.52,62.6,2.33,46.14,No
United River Bancorp,2003,3,12.87,2.24,132.53,2.39,79.7,3.16,36.11,No
Community America Bancorp,2003,3,11.61,3.06,119.48,2.25,66.81,2.49,48.77,No
Community Plains Bancorp,2003,3,6.62,5.03,67.64,-1.94,116.79,0.85,94.53,Yes
Community America Bank,2003,3,9.06,6.76,59.92,-3.09,77.92,0.31,93.78,Yes
Metropolitan Plains Credit,2003,3,6.23,8.17,47.8,-2.2,113.31,1.14,78.53,Yes
United Mountain Bancorp,2003,3,13.13,3.64,117.79,2.03,71.93,4.2,29.01,No
National Plains Bank,2003,3,13.37,1.89,125.67,1.67,69.51,3.36,81.13,No
Metropolitan Mountain Bancorp,2003,3,13.62,1.15,115.76,1.77,52.04,2.83,57.33,No
National Coast Bank,2003,3,9.45,3.05,124.88,1.63,68.58,3.8,57.34,No
First State Trust,2003,3,12.02,1.76,120.77,1.74,48.95,4.02,51.55,No
United Valley Credit,2003,3,6.8,6.83,62.65,-1.19,76.01,2.14,67.65,Yes
Metropolitan Valley Bank,2003,3,9.94,1.56,132.88,2.01,57.64,3.63,57.31,No
Regional Plains Bancorp,2003,3,13.08,2.72,143.94,3.09,63.13,3.81,53.83,No
Community Valley Financial,2003,3,13.0,0.31,118.3,1.59,78.28,3.54,29.26,No
Central America Bank,2003,3,11.96,3.12,118.13,2.36,73.51,3.17,47.29,No
First State Bancorp,2003,3,3.57,3.64,77.09,-0.98,97.92,0.79,76.95,Yes
Community Coast Bank,2003,3,14.09,1.66,106.59,2.37,67.95,3.02,66.08,No
National Mountain Trust,2003,3,11.96,2.29,108.21,1.89,76.1,2.22,52.01,No
Metropolitan Valley Bancorp,2003,3,12.2,2.04,130.37,2.17,84.78,2.5,51.36,No
Regional Mountain Credit,2003,3,12.17,0.93,129.56,3.16,69.83,3.25,50.85,No
National Valley Bank,2003,3,4.57,1.54,62.94,-2.39,125.56,0.94,76.54,Yes
First Valley Financial,2003,3,12.67,0.76,84.66,1.57,95.43,2.75,63.72,
United Coast Financial,2003,3,12.16,2.4,122.02,1.49,70.46,2.46,50.81,No
Community Plains Financial,2003,3,11.04,4.54,119.6,1.3,68.66,3.26,66.73,No
United America Financial,2003,3,10.82,0.42,128.17,1.31,65.64,2.87,49.3,No
First State Financial,2003,3,7.38,4.95,67.26,-1.01,102.24,1.05,84.36,Yes
Central Valley Bancorp,2003,3,13.69,2.39,124.54,1.21,70.5,3.24,57.29,No
Metropolitan America Bank,2003,3,10.62,1.34,114.26,2.27,80.34,2.8,59.08,No
First America Credit,2003,3,12.25,1.88,117.89,2.37,73.26,4.14,41.48,No
Metropolitan State Bank,2003,3,13.04,1.47,111.31,1.99,71.37,4.46,48.16,No
National River Financial,2003,3,3.74,7.82,49.25,-1.09,100.24,1.4,89.74,Yes
Community Coast Financial,2003,3,10.99,1.85,112.34,1.44,73.1,2.36,45.85,No
Metropolitan Plains Bancorp,2003,3,10.01,2.55,138.01,1.35,51.47,2.94,50.16,No
Metropolitan River Bancorp,2003,3,6.44,5.66,67.99,-0.63,115.61,0.02,76.31,Yes
Central Plains Financial,2003,3,6.43,4.25,87.31,-1.64,99.38,1.28,74.09,Yes
First Coast Bancorp,2003,3,8.31,1.57,130.29,1.83,61.54,3.46,46.69,No
Community Valley Financial,2003,3,10.98,2.15,127.71,3.19,78.27,3.58,44.94,No
Metropolitan Mountain Trust,2003,3,3.95,7.19,71.07,-2.08,97.37,1.2,83.6,Yes
National River Bank,2003,3,13.01,2.29,114.93,1.74,58.01,3.89,50.13,No
Regional State Trust,2003,3,11.55,1.07,149.36,1.46,65.71,3.21,56.0,No
Community America Trust,2003,3,13.92,3.81,125.06,1.47,67.43,3.15,70.68,No
Metropolitan Plains Trust,2003,3,3.2,10.61,71.8,-0.16,98.47,0.58,87.51,Yes
Central America Financial,2003,3,7.31,9.92,69.87,-1.6,76.62,1.41,84.24,Yes
Community America Bancorp,2003,4,4.07,5.38,65.33,-2.48,87.73,0.43,75.88,Yes
Community America Bancorp,2003,4,10.52,0.37,140.23,2.63,62.21,3.14,54.17,No
United Plains Bancorp,2003,4,14.38,1.18,130.92,1.73,56.64,3.36,62.91,No
National River Trust,2003,4,17.18,0.8,126.99,1.8,77.83,2.26,37.37,No
Regional America Bank,2003,4,10.45,2.08,113.59,2.33,80.27,3.3,66.19,No
Community America Bank,2003,4,6.83,3.35,83.63,-1.61,113.66,1.79,84.57,Yes
Community America Bancorp,2003,4,3.01,4.25,83.23,-1.17,101.19,1.38,86.96,Yes
National America Trust,2003,4,12.56,1.79,116.87,2.43,75.54,2.87,60.82,No
United Mountain Credit,2003,4,5.74,4.45,62.41,-1.98,95.91,1.62,71.95,Yes
Regional America Trust,2003,4,12.38,1.34,117.4,1.24,67.79,2.9,55.4,No
First America Financial,2003,4,12.45,0.8,130.84,2.11,71.98,3.0,44.82,No
National River Credit,2003,4,6.44,8.43,52.53,-1.54,96.18,1.13,91.93,Yes
National Plains Credit,2003,4,4.46,5.51,64.87,-1.8,94.79,1.39,69.46,Yes
Regional Coast Trust,2003,4,12.86,0.3,114.39,1.84,86.75,2.86,27.99,No
Central Valley Trust,2003,4,2.0,7.1,76.14,-0.62,102.51,1.58,74.6,Yes
Community Coast Credit,2003,4,13.79,0.37,110.95,1.1,67.25,2.98,51.14,No
Central Valley Financial,2003,4,12.12,1.07,118.1,1.25,83.63,2.85,45.11,No
Regional State Bank,2003,4,15.18,0.76,108.74,1.45,69.32,3.22,57.4,No
Metropolitan Coast Bank,2003,4,17.14,0.0,126.09,1.72,64.14,2.69,40.91,No
First State Bank,2003,4,9.37,9.53,70.23,0.35,77.31,0.33,58.22,Yes
Central Coast Bancorp,2003,4,10.6,2.16,121.03,2.07,55.89,3.4,52.4,No
United River Bancorp,2003,4,13.47,0.11,123.11,1.41,66.03,3.27,50.91,No
Regional Plains Credit,2003,4,10.3,2.01,104.68,2.58,67.95,3.56,44.73,No
First River Bancorp,2003,4,4.95,4.71,78.76,-1.71,109.67,0.81,60.24,Yes
Metropolitan Plains Trust,2003,4,4.86,3.46,70.34,-2.19,113.89,0.95,78.22,Yes
Regional Coast Bank,2003,4,13.31,2.96,119.8,1.61,52.26,2.66,43.83,No
Central River Credit,2003,4,12.21,1.65,126.88,1.69,69.43,3.59,53.42,No
Regional Valley Trust,2003,4,11.88,1.4,113.67,1.57,64.59,3.38,47.78,No
National Coast Trust,2003,4,9.3,3.77,123.2,1.3,65.58,3.06,67.05,No
Central America Bank,2003,4,9.78,2.98,133.99,1.69,67.22,2.48,47.97,No
Community America Bank,2003,4,11.93,2.66,130.9,1.63,50.33,2.99,52.94,No
United Valley Credit,2003,4,12.5,1.67,121.25,2.76,73.82,2.81,45.0,No
United Coast Trust,2003,4,11.66,3.64,118.17,1.99,65.18,3.55,69.6,No
National State Financial,2003,4,12.9,2.08,120.37,0.81,77.45,3.07,54.28,No
United Coast Bank,2003,4,4.58,5.85,65.89,0.02,94.32,2.04,84.31,Yes
United Plains Financial,2003,4,3.45,6.61,63.48,-3.19,123.99,1.35,85.33,Yes
Community Valley Financial,2003,4,12.33,0.62,115.16,2.42,59.49,1.73,47.73,No
National America Trust,2003,4,11.72,2.14,127.29,2.32,72.59,3.6,34.81,No
Metropolitan America Bank,2003,4,7.01,8.88,57.6,-2.5,88.81,0.67,87.53,Yes
First Mountain Financial,2003,4,10.77,1.14,113.88,2.56,70.13,2.91,48.9,No
National Coast Trust,2003,4,8.58,4.75,83.16,-0.79,97.59,2.25,69.44,Yes
First Mountain Credit,2003,4,11.29,0.77,129.52,2.84,86.7,3.61,48.02,No
United America Financial,2003,4,11.27,0.33,140.36,2.23,65.08,3.66,40.27,No
Metropolitan Mountain Trust,2003,4,12.81,1.83,126.39,1.97,55.49,3.04,60.49,No
First River Financial,2003,4,11.94,2.78,109.54,1.99,63.75,3.37,50.31,No
United Valley Bancorp,2003,4,13.38,3.09,126.92,2.14,60.02,3.0,44.67,No
Regional America Financial,2003,4,11.31,1.63,110.2,1.02,63.32,3.1,36.52,No
Community Coast Credit,2003,4,12.03,3.9,130.23,2.82,73.91,3.58,42.76,No
Central America Credit,2003,4,10.71,0.0,131.86,2.77,64.47,2.87,42.46,No
Regional Coast Financial,2003,4,6.77,10.37,52.57,-0.59,95.85,1.06,84.59,Yes
Metropolitan River Credit,2004,1,11.62,1.9,117.86,2.49,74.19,3.11,37.29,No
National Mountain Bancorp,2004,1,11.24,2.9,120.38,2.33,87.67,3.52,50.93,No
National Valley Bank,2004,1,10.98,0.0,118.32,1.84,73.9,2.92,46.8,No
Regional River Financial,2004,1,8.44,1.06,124.77,2.86,69.02,3.16,59.52,No
National America Bank,2004,1,4.38,8.1,62.6,-0.14,102.27,1.15,72.17,Yes
Community River Trust,2004,1,13.41,4.08,109.92,1.83,72.32,3.39,44.4,No
Metropolitan Mountain Financial,2004,1,0.33,11.08,77.61,-2.74,90.89,1.78,94.48,Yes
First Plains Financial,2004,1,7.88,6.47,70.83,-1.13,116.92,0.56,71.94,Yes
Central Valley Bank,2004,1,14.02,1.96,133.78,1.66,69.45,2.54,50.07,No
Community Mountain Trust,2004,1,9.04,1.51,105.64,2.35,77.17,2.13,63.34,No
United Valley Financial,2004,1,10.99,7.14,63.59,1.82,80.22,1.01,81.8,Yes
Community Mountain Trust,2004,1,8.69,8.08,65.01,-1.95,94.87,0.5,80.48,Yes
Central State Credit,2004,1,4.87,2.52,82.55,-1.5,80.98,0.92,80.68,Yes
Regional America Bancorp,2004,1,8.51,2.33,109.53,2.86,75.24,2.8,42.55,No
National Coast Credit,2004,1,11.79,2.61,119.75,1.89,70.58,2.7,46.57,No
Regional Valley Bancorp,2004,1,7.83,2.97,122.99,1.61,88.99,3.04,39.64,No
National River Credit,2004,1,7.71,8.19,73.95,-1.43,106.76,0.87,85.56,Yes
United River Bank,2004,1,8.19,1.57,137.22,1.62,63.96,2.78,37.85,No
National Plains Bancorp,2004,1,7.58,1.77,121.36,1.97,68.55,3.02,60.23,No
Central State Bancorp,2004,1,11.62,1.43,117.19,2.29,84.12,2.69,50.99,No
Metropolitan America Credit,2004,1,12.68,1.01,120.2,1.27,52.31,3.18,46.16,No
Regional America Financial,2004,1,12.4,1.98,110.24,1.98,57.67,3.7,36.44,No
Community America Credit,2004,1,11.61,0.96,125.7,1.83,64.81,3.43,50.29,No
Community Valley Bancorp,2004,1,7.03,4.06,55.95,-0.89,95.22,1.31,79.2,Yes
National America Credit,2004,1,12.41,0.38,138.88,1.92,76.98,2.58,53.08,No
United River Credit,2004,1,9.39,2.45,116.44,2.01,76.98,2.38,43.16,No
Regional Valley Credit,2004,1,12.91,4.1,118.62,2.3,68.93,3.97,32.53,No
Regional America Trust,2004,1,12.19,0.37,94.93,2.15,71.39,2.86,48.94,No
Regional River Trust,2004,1,18.2,1.74,125.1,1.68,72.95,2.88,45.89,No
Central Mountain Financial,2004,1,15.64,3.18,121.37,0.85,66.39,4.35,47.69,No
Metropolitan Valley Financial,2004,1,14.21,3.44,122.19,1.58,45.65,3.34,41.85,No
Metropolitan America Bank,2004,1,12.35,0.75,117.35,2.02,72.69,2.44,61.97,No
Metropolitan Coast Financial,2004,1,10.81,0.33,118.91,2.02,71.61,3.68,47.64,No
Central State Bancorp,2004,1,11.76,0.9,128.21,2.09,65.8,2.05,64.44,No
Regional Coast Financial,2004,1,9.54,1.41,123.58,1.4,55.06,1.94,57.21,No
United River Credit,2004,1,10.91,4.93,110.06,1.54,64.35,3.12,45.3,No
United Valley Financial,2004,1,13.22,1.02,106.18,1.1,47.76,2.74,46.99,No
Community America Financial,2004,1,4.74,10.73,82.28,-1.33,73.09,0.72,74.0,Yes
National State Bank,2004,1,4.69,4.91,63.47,-1.39,90.47,1.1,83.6,Yes
Community Mountain Bank,2004,1,10.18,3.27,110.2,1.19,73.81,2.59,53.21,No
Metropolitan Valley Bancorp,2004,1,7.19,3.39,126.72,1.25,55.21,3.84,42.63,No
United Plains Trust,2004,1,4.33,0.2,66.49,-1.23,110.73,0.3,64.8,Yes
First State Credit,2004,1,12.9,3.01,104.29,2.54,70.38,3.55,49.3,No
Community River Financial,2004,1,6.96,1.85,130.6,1.55,66.12,2.91,21.0,No
First Valley Financial,2004,1,15.34,1.1,125.06,1.96,82.58,3.2,47.65,No
First State Bancorp,2004,1,10.21,2.8,101.27,2.32,59.01,3.63,51.61,No
National River Bank,2004,1,13.29,2.08,102.48,1.57,76.72,3.08,61.81,No
United America Financial,2004,1,12.81,1.03,112.04,2.05,46.86,3.84,54.42,No
National Valley Financial,2004,1,14.45,0.42,132.45,3.12,56.79,3.39,50.01,No
First River Credit,2004,1,2.91,8.48,78.34,-1.6,117.49,0.17,65.05,Yes
National State Bank,2004,2,12.27,2.03,112.83,2.4,75.31,3.43,48.77,No
Central Valley Bank,2004,2,7.21,5.66,90.54,-1.81,131.58,1.02,66.24,Yes
Central Coast Bancorp,2004,2,14.74,2.13,128.51,2.61,73.38,2.7,59.76,No
Metropolitan Valley Credit,2004,2,6.0,9.06,48.46,-0.55,90.42,1.83,86.23,Yes
Community Coast Bancorp,2004,2,12.48,2.49,110.02,2.81,89.91,3.2,65.9,No
United Valley Financial,2004,2,4.86,4.61,70.41,-0.57,94.09,1.27,83.06,Yes
Community State Trust,2004,2,10.0,2.52,128.64,2.09,81.53,2.39,54.68,No
Central Plains Financial,2004,2,9.66,0.89,113.69,1.53,64.52,2.89,58.37,No
Central Coast Bank,2004,2,11.36,0.41,131.4,1.58,69.41,3.22,52.0,No
Central Mountain Credit,2004,2,8.19,8.44,61.39,1.18,102.92,0.93,89.64,Yes
Community Valley Trust,2004,2,12.5,2.4,144.92,1.86,66.82,3.06,60.72,No
Central State Bank,2004,2,8.99,0.03,114.13,1.18,65.75,3.25,41.09,No
First River Credit,2004,2,9.15,2.07,128.63,1.15,78.2,3.41,59.54,No
Community Valley Bank,2004,2,8.44,13.61,66.44,-0.89,93.75,1.0,95.33,Yes
Regional Coast Bank,2004,2,9.31,1.14,133.77,2.51,66.37,3.43,53.41,No
Regional State Bancorp,2004,2,15.0,2.07,130.26,3.32,75.98,3.02,57.22,No
First Coast Credit,2004,2,11.27,4.39,121.8,1.86,61.64,3.55,58.67,No
Metropolitan Valley Credit,2004,2,5.01,8.73,54.91,-0.82,106.79,1.85,72.29,Yes
Metropolitan Valley Financial,2004,2,9.44,1.1,106.63,2.67,85.49,3.16,62.21,No
United Mountain Financial,2004,2,12.27,1.9,116.67,1.84,54.52,3.13,49.6,No
National Coast Bank,2004,2,13.49,2.09,118.37,1.56,70.72,3.37,38.57,No
United Valley Bancorp,2004,2,6.17,7.7,62.82,-1.59,103.46,0.43,83.5,Yes
Metropolitan River Bancorp,2004,2,10.21,3.06,143.38,1.57,75.34,2.64,60.41,No
National River Bancorp,2004,2,9.47,2.48,111.27,1.9,59.69,3.41,41.63,No
Community Coast Bancorp,2004,2,13.1,1.66,118.86,2.07,62.38,3.11,65.3,No
Community Coast Financial,2004,2,10.44,3.17,134.98,1.59,55.45,3.15,44.53,No
Metropolitan River Credit,2004,2,15.74,2.03,111.98,1.43,80.9,2.71,50.44,No
Community Plains Bancorp,2004,2,13.91,1.52,119.54,1.99,76.83,3.3,47.8,No
Community America Bank,2004,2,12.13,1.63,105.22,2.13,88.92,2.56,42.27,No
Central Coast Financial,2004,2,10.26,2.72,124.48,1.92,60.82,3.05,34.35,No
Community America Trust,2004,2,12.29,2.87,107.49,1.23,85.79,2.69,61.36,No
Regional River Credit,2004,2,11.69,1.84,124.38,1.56,71.32,2.81,36.8,No
Community America Credit,2004,2,12.67,1.74,118.43,1.39,85.91,3.44,59.64,No
National State Credit,2004,2,5.39,1.81,89.53,-1.06,88.77,1.21,91.67,Yes
Regional River Trust,2004,2,11.95,3.28,130.83,1.46,63.26,3.48,22.87,No
National State Financial,2004,2,5.7,2.71,65.23,-1.3,94.63,0.72,69.03,Yes
National Plains Bancorp,2004,2,16.58,3.87,108.38,2.79,66.01,3.06,49.37,No
Metropolitan Coast Bank,2004,2,10.68,2.98,121.26,1.76,56.95,2.55,33.59,No
Regional Coast Financial,2004,2,12.02,0.8,117.34,2.69,81.99,2.98,49.13,No
Metropolitan America Trust,2004,2,9.76,8.56,66.72,-2.43,105.91,1.41,73.68,Yes
National Coast Trust,2004,2,12.58,1.64,118.16,0.76,67.78,3.48,43.69,No
National Coast Credit,2004,2,12.11,1.24,123.6,1.89,60.61,3.67,59.29,No
Regional Mountain Bank,2004,2,4.79,8.49,75.37,-0.36,74.59,1.5,74.3,Yes
Community Coast Credit,2004,2,11.28,4.64,123.02,1.81,47.95,3.69,36.55,No
Metropolitan River Financial,2004,2,9.99,1.67,134.16,2.39,68.42,3.15,44.0,No
Regional Plains Bancorp,2004,2,12.28,2.07,129.69,2.48,74.94,2.82,57.42,No
National America Trust,2004,2,11.82,0.92,115.97,2.04,79.1,2.91,37.91,No
United Plains Financial,2004,2,12.11,2.11,121.86,2.46,80.19,2.7,43.84,No
Regional Valley Bank,2004,2,9.92,2.7,134.49,1.84,67.59,3.73,55.06,No
Regional State Trust,2004,2,12.87,0.81,126.79,1.54,58.66,2.83,44.14,No
United Valley Bank,2004,3,11.56,0.56,129.59,2.56,50.53,3.49,41.89,No
National Coast Trust,2004,3,13.71,1.93,120.29,1.91,82.12,2.38,56.08,No
First Coast Trust,2004,3,14.2,2.72,143.25,1.74,79.57,2.95,62.33,No
Central Coast Bancorp,2004,3,5.98,5.84,83.06,-1.49,78.81,0.74,86.19,Yes
Central America Trust,2004,3,8.78,7.33,83.18,-2.36,93.35,0.86,78.85,Yes
Metropolitan Coast Trust,2004,3,6.17,9.07,65.55,-0.86,99.32,0.54,78.86,Yes
Regional Mountain Credit,2004,3,11.71,1.83,120.32,2.04,65.68,3.64,38.31,No
Community Valley Financial,2004,3,10.56,4.78,109.62,1.32,77.34,1.96,47.65,No
Regional Valley Trust,2004,3,16.29,0.46,100.18,1.25,78.98,3.56,44.87,No
Community Plains Credit,2004,3,13.37,3.39,137.87,1.88,46.99,2.59,45.73,No
First Valley Bancorp,2004,3,11.48,1.81,131.19,2.64,68.28,3.55,53.58,No
United River Financial,2004,3,12.13,2.91,120.72,3.03,55.62,2.74,48.73,No
Regional America Bancorp,2004,3,12.88,3.27,119.76,1.29,78.43,3.38,30.58,No
First America Trust,2004,3,11.99,0.41,113.35,1.55,78.09,3.06,37.14,No
Central America Financial,2004,3,13.76,0.57,123.3,1.59,66.34,3.25,55.21,No
National Mountain Trust,2004,3,14.67,1.92,123.06,1.78,71.82,3.22,49.02,No
Central River Bank,2004,3,2.39,7.99,73.65,-1.68,80.73,1.74,84.91,Yes
National State Credit,2004,3,11.54,0.86,111.78,2.65,71.38,2.72,55.1,No
Regional Plains Bancorp,2004,3,10.37,3.5,133.53,1.77,63.71,1.69,35.18,No
National Plains Bancorp,2004,3,9.32,2.14,116.74,1.33,67.19,3.25,55.28,No
National River Financial,2004,3,8.2,1.87,106.17,2.45,77.84,2.55,42.34,No
Central Plains Bancorp,2004,3,11.08,0.0,123.36,1.86,79.7,2.45,43.81,No
United Valley Credit,2004,3,8.99,1.0,108.18,2.5,63.02,3.06,46.19,No
Central Coast Credit,2004,3,9.46,1.83,125.99,1.4,78.09,2.58,45.17,No
Central Plains Bank,2004,3,13.06,1.34,120.38,1.84,71.29,1.81,31.7,No
Metropolitan Valley Financial,2004,3,13.23,3.04,110.9,1.88,72.95,3.35,29.72,No
Metropolitan Coast Trust,2004,3,10.23,1.67,127.03,3.25,67.72,2.3,54.02,No
Central State Bank,2004,3,8.64,7.32,60.93,-0.04,109.95,0.49,83.81,Yes
Metropolitan State Trust,2004,3,7.99,10.55,69.34,-1.36,118.41,0.39,84.39,Yes
Regional America Credit,2004,3,3.26,10.2,67.42,0.27,107.37,0.39,94.25,Yes
First Valley Trust,2004,3,15.1,2.88,112.38,1.85,71.45,2.65,66.92,No
First Coast Bank,2004,3,12.29,0.0,123.39,1.83,69.25,2.82,58.07,No
First America Credit,2004,3,14.24,2.28,116.61,1.98,70.2,2.6,55.79,No
Regional River Trust,2004,3,12.92,3.54,132.55,1.66,78.2,2.52,56.96,No
Community Valley Bank,2004,3,10.97,0.98,122.8,0.66,52.49,2.91,50.82,No
National Plains Financial,2004,3,11.26,0.42,111.82,2.2,75.82,2.99,61.57,No
United Valley Bank,2004,3,12.79,1.25,117.19,1.3,68.92,3.56,56.85,No
Central Coast Credit,2004,3,8.8,6.09,83.46,-1.19,122.07,0.99,87.07,Yes
Regional Coast Financial,2004,3,14.95,1.81,122.18,2.64,68.67,2.34,71.43,No
Regional Coast Bank,2004,3,11.06,2.16,131.56,1.7,59.92,3.13,32.07,No
First Mountain Bancorp,2004,3,11.42,2.25,117.3,1.23,85.94,3.05,64.31,No
National Mountain Credit,2004,3,11.48,1.12,122.69,1.89,58.22,3.73,43.78,No
Metropolitan Mountain Credit,2004,3,8.32,3.33,114.96,1.7,52.35,3.87,37.11,No
National America Financial,2004,3,12.12,2.91,124.22,1.97,52.98,2.6,51.88,No
Regional River Bancorp,2004,3,10.43,2.2,126.82,2.48,57.74,4.1,57.67,No
Metropolitan America Bank,2004,3,6.0,10.27,93.65,-2.44,96.62,0.0,81.93,Yes
United River Credit,2004,3,12.73,1.96,113.45,0.98,73.74,3.73,44.09,No
Regional Plains Trust,2004,3,6.88,2.3,74.57,-1.39,88.56,0.62,76.06,Yes
First River Credit,2004,3,12.76,0.69,116.03,1.98,59.01,3.9,41.47,No
Central River Bank,2004,3,10.66,1.02,137.98,2.28,60.63,3.55,52.01,No
National Valley Bancorp,2004,4,6.51,5.97,62.51,-0.66,91.82,1.91,67.31,Yes
National Valley Bank,2004,4,15.07,1.89,122.99,2.42,63.7,3.43,22.92,No
United State Financial,2004,4,4.56,4.23,57.46,-1.21,105.79,1.35,82.41,Yes
Regional Coast Bank,2004,4,4.67,8.11,71.24,-0.06,111.65,1.02,71.03,Yes
Central State Bancorp,2004,4,10.69,1.45,116.85,2.13,77.15,2.97,50.16,No
United Coast Trust,2004,4,12.29,1.48,110.75,1.12,63.05,3.24,42.97,No
Metropolitan Coast Trust,2004,4,11.52,2.47,125.21,1.46,79.97,3.56,38.7,No
Central Mountain Trust,2004,4,10.35,3.19,118.53,0.89,56.0,2.88,38.37,No
Regional State Bancorp,2004,4,11.17,2.03,134.62,1.85,80.73,3.71,64.34,No
United Mountain Bank,2004,4,6.57,1.11,74.61,0.05,98.78,1.87,88.6,Yes
Metropolitan America Bank,2004,4,13.14,3.09,123.33,0.75,65.01,3.6,41.92,No
United Coast Bancorp,2004,4,11.55,0.96,137.84,2.84,61.16,3.07,43.2,No
Regional Coast Trust,2004,4,13.23,2.51,128.12,2.17,99.35,2.49,32.89,No
Regional America Credit,2004,4,11.21,0.43,105.08,1.5,60.78,2.52,55.18,No
United Plains Credit,2004,4,10.99,1.82,128.94,1.62,67.35,3.18,30.58,No
Community River Credit,2004,4,7.23,2.35,124.92,3.03,71.58,3.41,48.05,No
United Plains Financial,2004,4,12.59,3.67,98.76,2.21,91.36,3.14,66.51,No
Community River Trust,2004,4,10.74,1.97,120.34,0.89,58.32,2.45,58.22,No
Community River Bank,2004,4,13.74,2.32,128.24,1.92,82.02,3.0,50.58,No
Central State Bank,2004,4,11.47,2.68,115.79,2.49,58.68,2.45,56.87,No
Central Mountain Bancorp,2004,4,11.82,1.55,128.9,1.7,68.0,3.7,65.39,No
First State Bancorp,2004,4,15.14,1.72,132.31,1.53,60.93,1.82,66.73,No
Regional State Bancorp,2004,4,10.27,1.87,110.9,2.35,66.24,2.35,54.42,No
United Valley Bancorp,2004,4,9.13,1.16,98.93,1.29,71.79,2.02,35.19,No
United State Bank,2004,4,12.0,1.46,139.92,2.92,61.32,3.28,57.49,No
National Valley Bank,2004,4,10.81,0.5,119.88,1.91,65.64,3.22,42.49,No
